iata,distance,total_km,count,nombre,continente,pais,kgFuel,kgCO2PP,distancia_calculadora,kgFuelPorAvion,kgFuelTotales,km_volados_calculadora
HKG,12919,51676,4,Hong Kong International Airport,AS,HK,62746.7,350.8,10501,62746.7,250986.8,42004
CLO,8409,50455,6,Alfonso Bonilla Aragon International Airport,SA,CO,54058.6,394.1,8298,54058.6,324351.6,49788
GVA,1252,50063,40,Geneva Cointrin International Airport,EU,CH,5304.7,107.4,1007,5304.7,212188,40280
ASU,8247,49480,6,Silvio Pettirossi International Airport,SA,PY,55559.5,405.6,9185,55559.5,333357,55110
AUH,6640,46481,7,Abu Dhabi International Airport,AS,AE,35928,280.1,5636,35928,251496,39452
ICN,14450,43350,3,Incheon International Airport,AS,KR,59791.3,356.7,9959,59791.3,179373.90000000002,29877
BUD,2650,42392,16,Budapest Liszt Ferenc International Airport,EU,HU,8348.5,169.2,1971,8348.5,133576,31536
DUB,1466,41040,28,Dublin Airport,EU,IE,6681.3,133,1452,6681.3,187076.4,40656
STN,1337,40103,30,London Stansted Airport,EU,GB,6085.5,118.8,1299,6085.5,182565,38970
CIA,1803,39657,22,CiampinoâG. B. Pastine International Airport,EU,IT,6272.1,122.5,1357,6272.1,137986.2,29854
CPH,2460,39360,16,Copenhagen Kastrup Airport,EU,DK,8872.1,171.7,2057,8872.1,141953.6,32912
LAX,12749,38246,3,Los Angeles International Airport,NA,US,57890.2,411.1,9381,57890.2,173670.59999999998,28143
ACE,1688,37131,22,Lanzarote Airport,ES,ES,7111.7,142,1574,7111.7,156457.4,34628
RAK,1099,36281,33,Menara Airport,AF,MA,4768.3,125.1,1064,4768.3,157353.9,35112
ATL,8996,35985,4,Hartsfield Jackson Atlanta International Airport,NA,US,42431.4,397,6956,42431.4,169725.6,27824
PRG,2248,35971,16,VÃ¡clav Havel Airport Prague,EU,CZ,8015.3,151.4,1748,8015.3,128244.8,27968
LCG,620,35965,58,A CoruÃ±a Airport,ES,ES,2916.7,79.1,505,2916.7,169168.59999999998,29290
KBP,3972,35749,9,Boryspil International Airport,EU,UA,10872.6,197.3,2869,10872.6,97853.40000000001,25821
GYE,8789,35155,4,JosÃ© JoaquÃ­n de Olmedo International Airport,SA,EC,61253.6,430.7,9007,61253.6,245014.4,36028
VGO,596,35150,59,Vigo Airport,ES,ES,2752.7,76.3,462,2752.7,162409.3,27258
LYS,1124,32609,29,Lyon Saint-ExupÃ©ry Airport,EU,FR,3954.7,134.6,909,3954.7,114686.29999999999,26361
CAI,4040,32318,8,Cairo International Airport,AF,EG,12342.9,232.9,3347,12342.9,98743.2,26776
NAP,1986,31772,16,Naples International Airport,EU,IT,6893.5,139.3,1502,6893.5,110296,24032
TFS,1984,31739,16,Tenerife South Airport,ES,ES,7887.3,157.9,1823,7887.3,126196.8,29168
CMN,905,31664,35,Mohammed V International Airport,AF,MA,3914.1,117.4,867,3914.1,136993.5,30345
FUE,1747,31446,18,Fuerteventura Airport,ES,ES,7323.6,147.1,1632,7323.6,131824.80000000002,29376
EWR,7851,31404,4,Newark Liberty International Airport,NA,US,40108.6,310.7,5786,40108.6,160434.4,23144
NCE,1250,31240,25,Nice-CÃ´te d'Azur Airport,EU,FR,4227.9,132.8,954,4227.9,105697.49999999999,23850
MRS,1031,30926,30,Marseille Provence Airport,EU,FR,3249.8,137.4,793,3249.8,97494,23790
WAW,3011,30107,10,Warsaw Chopin Airport,EU,PL,9781.3,187.6,2268,9781.3,97813,22680
BGY,1584,30092,19,Il Caravaggio International Airport,EU,IT,5822.9,113.7,1218,5822.9,110635.09999999999,23142
SCQ,602,28919,48,Santiago de Compostela Airport,ES,ES,3141,62.7,481,3141,150768,23088
SJU,7154,28617,4,Luis Munoz Marin International Airport,NA,PR,47766.5,383.5,6375,47766.5,191066,25500
SVQ,426,27278,64,Sevilla Airport,ES,ES,1697.8,52.8,394,1697.8,108659.2,25216
SOF,3009,27082,9,Sofia Airport,EU,BG,9018.9,200.8,2245,9018.9,81170.09999999999,20205
DEL,9001,27002,3,Indira Gandhi International Airport,AS,IN,44921.5,290,7252,44921.5,134764.5,21756
HEL,3828,26795,7,Helsinki Vantaa Airport,EU,FI,13428.7,225.3,2943,13428.7,94000.90000000001,20601
IBZ,577,26537,46,Ibiza Airport,ES,ES,2872.7,68.1,457,2872.7,132144.19999999998,21022
OVD,439,26352,60,Asturias Airport,ES,ES,1791,49,396,1791,107460,23760
SZX,12913,25826,2,Shenzhen Bao'an International Airport,AS,CN,62556.1,366.4,10466,62556.1,125112.2,20932
JED,5126,25629,5,King Abdulaziz International Airport,AS,SA,29466.6,229.7,4514,29466.6,147333,22570
SAW,3655,25588,7,Sabiha GÃ¶kÃ§en International Airport,AS,TR,10922.4,215.3,2754,10922.4,76456.8,19278
YYZ,8460,25381,3,Lester B. Pearson International Airport,NA,CA,46123.7,327.6,6054,46123.7,138371.09999999998,18162
HAM,2096,25155,12,Hamburg Airport,EU,DE,7827.9,166.5,1777,7827.9,93934.79999999999,21324
XIY,12477,24953,2,Xi'an Xianyang International Airport,AS,CN,57617.6,331.4,9178,57617.6,115235.2,18356
TLS,651,24070,37,Toulouse-Blagnac Airport,EU,FR,2605.7,101.9,536,2605.7,96410.9,19832
BIO,322,23531,73,Bilbao Airport,ES,ES,2383.4,61,317,2383.4,173988.2,23141
BOS,7500,22501,3,General Edward Lawrence Logan International Airport,NA,US,42983.9,297.2,5470,42983.9,128951.70000000001,16410
TRN,1353,21642,16,Turin Airport,EU,IT,3637.3,172.1,1051,3637.3,58196.8,16816
FLR,1683,20197,12,Peretola Airport,EU,IT,5763.1,146.7,1268,5763.1,69157.20000000001,15216
NTE,773,20104,26,Nantes Atlantique Airport,EU,FR,3583.2,118.7,756,3583.2,93163.2,19656
AGP,434,19957,46,MÃ¡laga Airport,ES,ES,1804.5,74,431,1804.5,83007,19826
SSA,6630,19891,3,Deputado Luiz Eduardo MagalhÃ£es International Airport,SA,BR,51557.8,349.6,6928,51557.8,154673.40000000002,20784
ARN,3182,19094,6,Stockholm-Arlanda Airport,EU,SE,11075.1,214.8,2597,11075.1,66450.6,15582
ALC,413,19011,46,Alicante International Airport,ES,ES,1514.7,72.4,357,1514.7,69676.2,16422
SAP,9402,18804,2,RamÃ³n Villeda Morales International Airport,NA,HN,55669.7,467.5,8425,55669.7,111339.4,16850
VLC,360,17979,50,Valencia Airport,ES,ES,1348.7,64.4,285,1348.7,67435,14250
AMM,4492,17966,4,Queen Alia International Airport,AS,JO,13970.9,260.7,3648,13970.9,55883.6,14592
FOR,5924,17772,3,Pinto Martins International Airport,SA,BR,45119.4,317.2,6066,45119.4,135358.2,18198
SSG,4293,17173,4,Malabo Airport,AF,GQ,40469.5,304,4263,40469.5,161878,17052
OSL,2724,16344,6,Oslo Gardermoen Airport,EU,NO,9498.9,211.4,2411,9498.9,56993.399999999994,14466
MAN,1438,15814,11,Manchester Airport,EU,GB,6570,130.1,1432,6570,72270,15752
BOD,578,15037,26,Bordeaux-MÃ©rignac Airport,EU,FR,2408.8,110.6,534,2408.8,62628.8,13884
LUX,1487,14873,10,Luxembourg-Findel International Airport,EU,LU,5562.8,127.8,1270,5562.8,55628,12700
EAS,376,14669,39,San Sebastian Airport,ES,ES,745.3,37.2,351,745.3,29066.699999999997,13689
SPC,2039,14271,7,La Palma Airport,ES,ES,8830.1,159.9,1846,8830.1,61810.700000000004,12922
MAH,868,13886,16,Menorca Airport,ES,ES,3261.6,110.8,663,3261.6,52185.6,10608
SXF,2310,13860,6,Berlin-SchÃ¶nefeld Airport,EU,DE,7817,152.6,1849,7817,46902,11094
DWC,6685,13370,2,Al Maktoum International Airport,AS,AE,66127.9,455.8,5650,66127.9,132255.8,11300
CGN,1658,13261,8,Cologne Bonn Airport,EU,DE,6460.9,126.2,1416,6460.9,51687.2,11328
BEY,4397,13192,3,Beirut Rafic Hariri International Airport,AS,LB,13349.7,241.5,3507,13349.7,40049.100000000006,10521
XRY,498,12939,26,Jerez Airport,ES,ES,2230.6,104.4,468,2230.6,57995.6,12168
CLJ,3106,12425,4,Cluj-Napoca International Airport,EU,RO,9518.8,194.1,2287,9518.8,38075.2,9148
REC,6091,12182,2,Guararapes - Gilberto Freyre International Airport,SA,BR,46744.5,325.6,6283,46744.5,93489,12566
LEI,424,11876,28,AlmerÃ­a International Airport,ES,ES,2101.4,99.4,418,2101.4,58839.200000000004,11704
ALG,863,11218,13,Houari Boumediene Airport,AF,DZ,3279.6,115.3,723,3279.6,42634.799999999996,9399
KRK,2800,11201,4,KrakÃ³w John Paul II International Airport,EU,PL,8583,167.6,2100,8583,34332,8400
PSA,1592,11144,7,Pisa International Airport,EU,IT,5770.7,112.7,1202,5770.7,40394.9,8414
MLA,2069,10347,5,Malta International Airport,EU,MT,7266,143.4,1653,7266,36330,8265
GRX,365,10223,28,Federico Garcia Lorca Airport,ES,ES,1864.2,88.4,367,1864.2,52197.6,10276
MLN,580,9866,17,Melilla Airport,ES,ES,1100.9,54.9,581,1100.9,18715.300000000003,9877
TNG,587,9398,16,Ibn Batouta Airport,AF,MA,3094.3,92.2,568,3094.3,49508.8,9088
PNA,333,9310,28,Pamplona Airport,ES,ES,1561.4,74.2,299,1561.4,43719.200000000004,8372
SXB,1533,9197,6,Strasbourg Airport,EU,FR,2761.8,191.6,1257,2761.8,16570.800000000003,7542
WMI,2993,8978,3,Modlin Airport,EU,PL,9073.9,177.2,2263,9073.9,27221.699999999997,6789
EDI,1718,8590,5,Edinburgh Airport,EU,GB,7547.8,162.4,1719,7547.8,37739,8595
TSR,2829,8488,3,TimiÅoara Traian Vuia Airport,EU,RO,8894.7,181.4,2094,8894.7,26684.100000000002,6282
CBB,8258,8258,1,Jorge Wilsterman International Airport,SA,BO,57030.7,465.1,9110,57030.7,57030.7,9110
IGR,8169,8169,1,Cataratas Del IguazÃº International Airport,SA,AR,54770.6,410.4,9041,54770.6,54770.6,9041
SCU,8140,8140,1,Antonio Maceo International Airport,NA,CU,62923.4,508.5,7105,62923.4,62923.4,7105
BEG,2696,8089,3,Belgrade Nikola Tesla Airport,EU,RS,8588.5,144.1,2000,8588.5,25765.5,6000
BHX,1346,8076,6,Birmingham International Airport,EU,GB,6285.7,125.4,1336,6285.7,37714.2,8016
TUN,1585,7925,5,Tunis Carthage International Airport,AF,TN,5747.8,128,1260,5747.8,28739,6300
SDR,329,7900,24,Santander Airport,ES,ES,2387.4,61,325,2387.4,57297.600000000006,7800
YUL,7811,7811,1,Montreal / Pierre Elliott Trudeau International Airport,NA,CA,40544.8,331.9,5547,40544.8,40544.8,5547
CRL,1423,7116,5,Brussels South Charleroi Airport,EU,BE,5991.7,117,1270,5991.7,29958.5,6350
BVA,1181,7086,6,Paris Beauvais TillÃ© Airport,EU,FR,5403.1,105.5,1090,5403.1,32418.600000000002,6540
RIX,3542,7084,2,Riga International Airport,EU,LV,,,,,,
ZAG,2259,6776,3,Zagreb Airport,EU,HR,7742.4,161.3,1690,7742.4,23227.199999999997,5070
STR,1688,6753,4,Stuttgart Airport,EU,DE,6337.4,137.7,1358,6337.4,25349.6,5432
RBA,794,6356,8,Rabat-SalÃ© Airport,AF,MA,3945.7,94.2,768,3945.7,31565.6,6144
SBZ,3128,6257,2,Sibiu International Airport,EU,RO,9576.7,195.3,2305,9576.7,19153.4,4610
CRA,3081,6161,2,Craiova Airport,EU,RO,9496.3,193.6,2280,9496.3,18992.6,4560
BRS,1215,6075,5,Bristol Airport,EU,GB,5781.3,130.3,1210,5781.3,28906.5,6050
BJZ,402,5634,14,Badajoz Airport,ES,ES,954,59,330,954,13356,4620
EIN,1573,4719,3,Eindhoven Airport,EU,NL,6400.2,125,1397,6400.2,19200.6,4191
BRI,2261,4522,2,Bari Karol WojtyÅa Airport,EU,IT,7425.3,146.4,1706,7425.3,14850.6,3412
ASW,4403,4403,1,Aswan International Airport,AF,EG,,,,,,
BSL,1465,4394,3,EuroAirport Basel-Mulhouse-Freiburg Airport,EU,FR,5666.2,129.9,1184,5666.2,16998.6,3552
